scenario,rule,stop_rate,mean_rep_n,mean_target_n,mean_total_evals,premature_stop_rate,mean_missed_new,mean_true_missing,median_true_missing,mean_Mhat,mean_Nerr,mean_maxU
near_threshold_long_tail,dual_rule,0.02,1492.5833333333333,1492.5833333333333,7462.916666666667,0.0,0.73,0.016780877387797676,0.015183711737875832,0.017880938040333694,374.3333333333333,0.014253078476153914
near_threshold_long_tail,fixed_budget,1.0,300.0,300.0,1500.0,1.0,8.933333333333334,0.23838104690912473,0.2382465135263377,0.24169379633054552,75.56666666666666,0.028422907827389623
near_threshold_long_tail,rate_only,0.04,1485.75,1485.75,7428.75,0.0,0.8166666666666667,0.019367501966768747,0.017069298129477602,0.01919686596363773,369.8666666666667,0.014255833195128952
near_threshold_long_tail,recent_novelty,1.0,841.0833333333334,841.0833333333334,4205.416666666667,0.23333333333333334,3.0833333333333335,0.07346464520956511,0.06613674781417961,0.06728718933671723,210.81333333333333,0.017775849421819045
safe_long_tail,dual_rule,0.7666666666666667,1172.4166666666667,1172.4166666666667,5862.083333333333,0.05,1.5933333333333333,0.039797559646632875,0.03105246183025452,0.03741036280052365,291.63666666666666,0.009529676222254403
safe_long_tail,fixed_budget,1.0,300.0,300.0,1500.0,1.0,8.886666666666667,0.2350684260779643,0.23362413472378163,0.24193755957040627,75.40333333333334,0.019592677234585958
safe_long_tail,rate_only,0.9,926.1666666666666,926.1666666666666,4630.833333333333,0.25,2.8633333333333333,0.07081478541631069,0.05415343550092193,0.07168313672123741,231.65666666666667,0.010028869946073968
safe_long_tail,recent_novelty,1.0,844.9166666666666,844.9166666666666,4224.583333333333,0.22666666666666666,3.026666666666667,0.07326259051585528,0.06536133059813712,0.06771675872930093,211.90666666666667,0.011171661151079003
safe_short_tail,dual_rule,0.8933333333333333,935.9166666666666,935.9166666666666,4679.583333333333,0.0,0.11666666666666667,0.0029181278807315345,0.0,0.003331010889911825,235.66333333333333,0.0100042336454016
safe_short_tail,fixed_budget,1.0,300.0,300.0,1500.0,0.016666666666666666,0.98,0.03200162147971482,0.029917098801480836,0.029021258942659216,74.79,0.019755212098161355
safe_short_tail,rate_only,0.8933333333333333,934.8333333333334,934.8333333333334,4674.166666666667,0.0,0.10666666666666667,0.003942412947221304,0.0,0.0035716620715348477,233.57,0.010059932326341276
safe_short_tail,recent_novelty,1.0,358.6666666666667,358.6666666666667,1793.3333333333333,0.006666666666666667,0.6833333333333333,0.022493483516598713,0.01813368890945478,0.018535728709270827,90.38666666666667,0.01827310016690892
unsafe_long_tail,dual_rule,0.0,1500.0,1500.0,7500.0,0.0,0.68,0.017744705516759707,0.01587542330161927,0.017521274309971552,375.97333333333336,0.02283803061211519
unsafe_long_tail,fixed_budget,1.0,300.0,300.0,1500.0,1.0,9.406666666666666,0.24354930738587896,0.24237986212439533,0.23667405813811498,75.30333333333333,0.03900441048540574
unsafe_long_tail,rate_only,0.0,1500.0,1500.0,7500.0,0.0,0.6466666666666666,0.015371418377304892,0.01345993073967206,0.01817748328262231,374.92,0.023189904182588206
unsafe_long_tail,recent_novelty,1.0,849.8333333333334,849.8333333333334,4249.166666666667,1.0,3.09,0.06948881027329894,0.06291000576383095,0.06605174114005116,212.42333333333335,0.027176055732723
