"stopped","stop_round","rep_n_per_slice","target_n","total_evals","max_U95","max_true_p","recent_novelty","N_err","Mhat","true_missing","missed_new_types_200","premature_stop","scenario","rule","replicate"
TRUE,12,300,300,1500,0.0208362305270247,0.004,0,78,0.0256410256410256,0.0388319392412178,1,FALSE,"safe_short_tail","fixed_budget",38
TRUE,12,300,300,1500,0.0208362305270247,0.004,2,72,0.0138888888888889,0.032182268507818,0,FALSE,"safe_short_tail","fixed_budget",39
TRUE,12,300,300,1500,0.0157145548915839,0.004,0,79,0.0126582278481013,0.0158685192031176,0,FALSE,"safe_short_tail","fixed_budget",40
TRUE,12,300,300,1500,0.0157145548915839,0.004,3,75,0.0266666666666667,0,0,FALSE,"safe_short_tail","fixed_budget",41
TRUE,12,300,300,1500,0.0208362305270247,0.004,0,65,0,0.0552081127397807,2,FALSE,"safe_short_tail","fixed_budget",42
TRUE,12,300,300,1500,0.0208362305270247,0.004,0,71,0.0422535211267606,0.0508936547809541,1,FALSE,"safe_short_tail","fixed_budget",43
TRUE,12,300,300,1500,0.0157145548915839,0.004,1,80,0.025,0,0,FALSE,"safe_short_tail","fixed_budget",44
TRUE,12,300,300,1500,0.0256413930826096,0.004,1,67,0.0447761194029851,0.0210158348887922,1,FALSE,"safe_short_tail","fixed_budget",45
TRUE,12,300,300,1500,0.0157145548915839,0.004,0,83,0.0240963855421687,0.0140485795983632,0,FALSE,"safe_short_tail","fixed_budget",46
TRUE,12,300,300,1500,0.0256413930826096,0.004,0,64,0.03125,0.0299170988014808,1,FALSE,"safe_short_tail","fixed_budget",47
TRUE,12,300,300,1500,0.0157145548915839,0.004,4,71,0.0563380281690141,0.0439263994905252,2,FALSE,"safe_short_tail","fixed_budget",48
TRUE,12,300,300,1500,0.0208362305270247,0.004,0,65,0.0307692307692308,0.0727948684444713,1,FALSE,"safe_short_tail","fixed_budget",49
TRUE,12,300,300,1500,0.0256413930826096,0.004,0,73,0.0136986301369863,0.0480115088016167,2,FALSE,"safe_short_tail","fixed_budget",50
TRUE,12,300,300,1500,0.0157145548915839,0.004,2,81,0.0493827160493827,0.0210158348887922,1,FALSE,"safe_short_tail","fixed_budget",51
TRUE,12,300,300,1500,0.0157145548915839,0.004,1,73,0.0136986301369863,0.0779814630394648,4,FALSE,"safe_short_tail","fixed_budget",52
TRUE,12,300,300,1500,0.0208362305270247,0.004,0,87,0.0114942528735632,0.0550180430013645,3,FALSE,"safe_short_tail","fixed_budget",53
TRUE,12,300,300,1500,0.0157145548915839,0.004,2,77,0.012987012987013,0,0,FALSE,"safe_short_tail","fixed_budget",54
TRUE,12,300,300,1500,0.0157145548915839,0.004,0,78,0.0256410256410256,0,0,FALSE,"safe_short_tail","fixed_budget",55
TRUE,12,300,300,1500,0.0256413930826096,0.004,2,72,0.0277777777777778,0.0210158348887922,0,FALSE,"safe_short_tail","fixed_budget",56
TRUE,12,300,300,1500,0.0208362305270247,0.004,1,78,0.0512820512820513,0,0,FALSE,"safe_short_tail","fixed_budget",57
TRUE,12,300,300,1500,0.0157145548915839,0.004,1,85,0.0117647058823529,0.0140485795983632,1,FALSE,"safe_short_tail","fixed_budget",58
TRUE,12,300,300,1500,0.0208362305270247,0.004,1,65,0.0307692307692308,0.0616677137347644,2,FALSE,"safe_short_tail","fixed_budget",59
TRUE,12,300,300,1500,0.0157145548915839,0.004,2,82,0.0609756097560976,0,0,FALSE,"safe_short_tail","fixed_budget",60
TRUE,12,300,300,1500,0.0157145548915839,0.004,0,85,0,0.0140485795983632,1,FALSE,"safe_short_tail","fixed_budget",61
TRUE,12,300,300,1500,0.0256413930826096,0.004,0,87,0.0344827586206897,0.0181336889094548,0,FALSE,"safe_short_tail","fixed_budget",62
TRUE,12,300,300,1500,0.0208362305270247,0.004,2,80,0.025,0.032182268507818,1,FALSE,"safe_short_tail","fixed_budget",63
TRUE,12,300,300,1500,0.0208362305270247,0.004,4,75,0.0533333333333333,0.0777721907365214,1,FALSE,"safe_short_tail","fixed_budget",64
TRUE,12,300,300,1500,0.0208362305270247,0.004,1,81,0.0493827160493827,0.0140485795983632,0,FALSE,"safe_short_tail","fixed_budget",65
